Study ID,Patient ID,Sample ID,NSD1: mRNA expression z-scores relative to all samples (log microarray)
brca_metabric,MB-0655,MB-0655,-1.3817
brca_metabric,MB-0656,MB-0656,-0.7868
brca_metabric,MB-0657,MB-0657,0.0094
brca_metabric,MB-0658,MB-0658,-0.746
brca_metabric,MB-0659,MB-0659,0.5352
brca_metabric,MB-0660,MB-0660,-0.0729
brca_metabric,MB-0661,MB-0661,1.325
brca_metabric,MB-0662,MB-0662,0.5571
brca_metabric,MB-0663,MB-0663,-1.4456
brca_metabric,MB-0664,MB-0664,-0.9009
brca_metabric,MB-0666,MB-0666,-0.2181
brca_metabric,MB-0667,MB-0667,0.4057
brca_metabric,MB-0869,MB-0869,-0.2975
brca_metabric,MB-0872,MB-0872,-1.2441
brca_metabric,MB-0874,MB-0874,-1.2887
brca_metabric,MB-0876,MB-0876,-1.0624
brca_metabric,MB-0877,MB-0877,-0.5948
brca_metabric,MB-0880,MB-0880,0.0274
brca_metabric,MB-0882,MB-0882,-0.5221
brca_metabric,MB-0884,MB-0884,-0.2737
brca_metabric,MB-0885,MB-0885,0.2037
brca_metabric,MB-0891,MB-0891,-0.8585
brca_metabric,MB-0893,MB-0893,-0.3095
brca_metabric,MB-0895,MB-0895,-1.0966
brca_metabric,MB-0897,MB-0897,-1.238
brca_metabric,MB-0899,MB-0899,-1.3808
brca_metabric,MB-0901,MB-0901,0.4624
brca_metabric,MB-0904,MB-0904,-1.2413
brca_metabric,MB-0906,MB-0906,1.5962
brca_metabric,MB-0907,MB-0907,-1.1101
brca_metabric,MB-2513,MB-2513,-1.314
brca_metabric,MB-2517,MB-2517,-0.5206
brca_metabric,MB-2536,MB-2536,-1.3022
brca_metabric,MB-2556,MB-2556,-0.8864
brca_metabric,MB-2564,MB-2564,0.0573
brca_metabric,MB-2610,MB-2610,-1.2068
brca_metabric,MB-2613,MB-2613,-1.8867
brca_metabric,MB-2614,MB-2614,-0.7911
brca_metabric,MB-2616,MB-2616,-1.4173
brca_metabric,MB-2617,MB-2617,-1.2881
brca_metabric,MB-2618,MB-2618,-1.0316
brca_metabric,MB-2624,MB-2624,-0.4341
brca_metabric,MB-2626,MB-2626,-1.5907
brca_metabric,MB-2629,MB-2629,-1.1917
brca_metabric,MB-2632,MB-2632,-1.8928
brca_metabric,MB-2634,MB-2634,-1.2948
brca_metabric,MB-2642,MB-2642,-1.8341
brca_metabric,MB-2643,MB-2643,-1.1785
brca_metabric,MB-2645,MB-2645,-1.5473
brca_metabric,MB-2669,MB-2669,-0.5891
brca_metabric,MB-2686,MB-2686,-0.7284
brca_metabric,MB-2705,MB-2705,-0.0969
brca_metabric,MB-2708,MB-2708,-1.2802
brca_metabric,MB-2711,MB-2711,-1.223
brca_metabric,MB-2712,MB-2712,-0.8736
brca_metabric,MB-2718,MB-2718,-0.6681
brca_metabric,MB-2721,MB-2721,-0.1568
brca_metabric,MB-2724,MB-2724,0.1468
brca_metabric,MB-2725,MB-2725,-0.3882
brca_metabric,MB-2728,MB-2728,-0.7712
brca_metabric,MB-2730,MB-2730,-1.4877
brca_metabric,MB-2735,MB-2735,0.1949
brca_metabric,MB-2742,MB-2742,-1.762
brca_metabric,MB-2744,MB-2744,-1.5631
brca_metabric,MB-2745,MB-2745,-1.0915
brca_metabric,MB-2747,MB-2747,-0.8864
brca_metabric,MB-2749,MB-2749,-1.3717
brca_metabric,MB-2750,MB-2750,-1.2475
brca_metabric,MB-2752,MB-2752,-0.446
brca_metabric,MB-2753,MB-2753,-1.8939
brca_metabric,MB-2754,MB-2754,-1.1099
brca_metabric,MB-2758,MB-2758,-1.1005
brca_metabric,MB-2760,MB-2760,-0.528
brca_metabric,MB-2763,MB-2763,-0.9341
brca_metabric,MB-2764,MB-2764,-0.5869
brca_metabric,MB-2765,MB-2765,-0.1356
brca_metabric,MB-2767,MB-2767,-1.495
brca_metabric,MB-2769,MB-2769,-0.4359
brca_metabric,MB-2770,MB-2770,-0.0851
brca_metabric,MB-2771,MB-2771,1.0823
brca_metabric,MB-2772,MB-2772,-1.7666
brca_metabric,MB-2774,MB-2774,-1.4434
brca_metabric,MB-2778,MB-2778,-0.2457
brca_metabric,MB-2779,MB-2779,-0.1648
brca_metabric,MB-2781,MB-2781,-0.7523
brca_metabric,MB-2786,MB-2786,-1.8121
brca_metabric,MB-2790,MB-2790,-1.3374
brca_metabric,MB-2791,MB-2791,-0.6361
brca_metabric,MB-2792,MB-2792,-0.296
brca_metabric,MB-2793,MB-2793,-0.6052
brca_metabric,MB-2795,MB-2795,-1.3472
brca_metabric,MB-2796,MB-2796,-1.0708
brca_metabric,MB-2797,MB-2797,-0.6726
brca_metabric,MB-2801,MB-2801,-1.4169
brca_metabric,MB-2803,MB-2803,-0.6571
brca_metabric,MB-2814,MB-2814,-0.3703
brca_metabric,MB-2815,MB-2815,-1.2294
brca_metabric,MB-2819,MB-2819,-1.2336
brca_metabric,MB-2820,MB-2820,0.9692
brca_metabric,MB-2821,MB-2821,-0.2103
brca_metabric,MB-2823,MB-2823,-0.5577
brca_metabric,MB-2827,MB-2827,-0.7006
brca_metabric,MB-2833,MB-2833,-1.0904
brca_metabric,MB-2834,MB-2834,-0.285
brca_metabric,MB-2835,MB-2835,-0.2308
brca_metabric,MB-2838,MB-2838,1.0731
brca_metabric,MB-2840,MB-2840,-0.9434
brca_metabric,MB-2842,MB-2842,-0.7149
brca_metabric,MB-2843,MB-2843,-0.8089
brca_metabric,MB-2844,MB-2844,-2.0263
brca_metabric,MB-2845,MB-2845,-1.4212
brca_metabric,MB-2846,MB-2846,-1.7966
brca_metabric,MB-2847,MB-2847,-0.2917
brca_metabric,MB-2848,MB-2848,-0.1504
brca_metabric,MB-2849,MB-2849,-1.6496
brca_metabric,MB-2850,MB-2850,-0.3843
brca_metabric,MB-2851,MB-2851,-1.0864
brca_metabric,MB-2853,MB-2853,1.3514
brca_metabric,MB-2854,MB-2854,0.1947
brca_metabric,MB-2857,MB-2857,-1.5033
brca_metabric,MB-2858,MB-2858,-0.6724
brca_metabric,MB-2863,MB-2863,-0.8635
brca_metabric,MB-2867,MB-2867,-0.7839
brca_metabric,MB-2895,MB-2895,-1.7632
brca_metabric,MB-2896,MB-2896,-1.047
brca_metabric,MB-2900,MB-2900,-0.2738
brca_metabric,MB-2901,MB-2901,0.5643
brca_metabric,MB-2904,MB-2904,1.0592
brca_metabric,MB-2912,MB-2912,-1.1601
brca_metabric,MB-2916,MB-2916,-1.0865
brca_metabric,MB-2917,MB-2917,-1.0724
brca_metabric,MB-2919,MB-2919,-0.7595
brca_metabric,MB-2922,MB-2922,-0.8821
brca_metabric,MB-2923,MB-2923,-0.7279
brca_metabric,MB-2927,MB-2927,-0.6974
brca_metabric,MB-2929,MB-2929,-1.4909
brca_metabric,MB-2931,MB-2931,-0.9505
brca_metabric,MB-2932,MB-2932,-0.3086
brca_metabric,MB-2933,MB-2933,-1.2998
brca_metabric,MB-2939,MB-2939,-1.5346
brca_metabric,MB-2944,MB-2944,-0.8871
brca_metabric,MB-2947,MB-2947,-0.2256
brca_metabric,MB-2951,MB-2951,-0.8237
brca_metabric,MB-2952,MB-2952,-0.972
brca_metabric,MB-2953,MB-2953,-0.7578
brca_metabric,MB-2954,MB-2954,-1.3177
brca_metabric,MB-2957,MB-2957,-0.9569
brca_metabric,MB-2960,MB-2960,-1.1952
brca_metabric,MB-2963,MB-2963,-2.0035
brca_metabric,MB-2964,MB-2964,-0.5388
brca_metabric,MB-2966,MB-2966,-1.447
brca_metabric,MB-2969,MB-2969,-1.3409
brca_metabric,MB-2970,MB-2970,-0.8133
brca_metabric,MB-2971,MB-2971,-1.7402
brca_metabric,MB-2977,MB-2977,-1.264
brca_metabric,MB-2983,MB-2983,-0.568
brca_metabric,MB-2984,MB-2984,-1.0199
brca_metabric,MB-2990,MB-2990,-0.5322
brca_metabric,MB-2993,MB-2993,-1.1137
brca_metabric,MB-2994,MB-2994,-1.218
brca_metabric,MB-2996,MB-2996,0.3043
brca_metabric,MB-2999,MB-2999,1.3338
brca_metabric,MB-3001,MB-3001,-1.3731
brca_metabric,MB-3002,MB-3002,-1.3188
brca_metabric,MB-3005,MB-3005,-1.214
brca_metabric,MB-3006,MB-3006,-1.5331
brca_metabric,MB-3007,MB-3007,-0.4569
brca_metabric,MB-3008,MB-3008,-1.0405
brca_metabric,MB-3013,MB-3013,-1.8521
brca_metabric,MB-3014,MB-3014,-1.702
brca_metabric,MB-3016,MB-3016,-0.9928
brca_metabric,MB-3021,MB-3021,-1.5216
brca_metabric,MB-3025,MB-3025,-0.7866
brca_metabric,MB-3026,MB-3026,-1.742
brca_metabric,MB-3028,MB-3028,-0.7119
brca_metabric,MB-3031,MB-3031,-0.506
brca_metabric,MB-3032,MB-3032,-1.6654
brca_metabric,MB-3033,MB-3033,-1.8212
brca_metabric,MB-3035,MB-3035,0.4137
brca_metabric,MB-3037,MB-3037,-0.5594
brca_metabric,MB-3046,MB-3046,-1.1239
brca_metabric,MB-3049,MB-3049,-2.0663
brca_metabric,MB-3050,MB-3050,-0.5605
brca_metabric,MB-3057,MB-3057,-0.9378
brca_metabric,MB-3058,MB-3058,-2.1267
brca_metabric,MB-3060,MB-3060,-0.7045
brca_metabric,MB-3062,MB-3062,-1.0126
brca_metabric,MB-3063,MB-3063,1.3531
brca_metabric,MB-3064,MB-3064,0.1258
brca_metabric,MB-3067,MB-3067,-0.3775
brca_metabric,MB-3079,MB-3079,-1.0266
brca_metabric,MB-3083,MB-3083,-0.6029
brca_metabric,MB-3085,MB-3085,-1.5231
brca_metabric,MB-3088,MB-3088,0.5653
brca_metabric,MB-3092,MB-3092,-0.1626
brca_metabric,MB-3102,MB-3102,-1.4784
brca_metabric,MB-3103,MB-3103,-0.6192
brca_metabric,MB-3104,MB-3104,-0.9295
brca_metabric,MB-3105,MB-3105,-0.3431
brca_metabric,MB-3110,MB-3110,0.2767
brca_metabric,MB-3121,MB-3121,-0.3972
brca_metabric,MB-3122,MB-3122,-1.339
brca_metabric,MB-3123,MB-3123,-1.2087
brca_metabric,MB-3153,MB-3153,-0.6153
brca_metabric,MB-3165,MB-3165,0.3591
brca_metabric,MB-3167,MB-3167,-0.3317
brca_metabric,MB-3171,MB-3171,-0.76
brca_metabric,MB-3181,MB-3181,1.201
brca_metabric,MB-3211,MB-3211,-0.7047
brca_metabric,MB-3218,MB-3218,-0.4364
brca_metabric,MB-3222,MB-3222,-0.4456
brca_metabric,MB-3228,MB-3228,-0.0284
brca_metabric,MB-3235,MB-3235,-1.0588
brca_metabric,MB-3252,MB-3252,-0.7299
brca_metabric,MB-3253,MB-3253,-0.3339
brca_metabric,MB-3254,MB-3254,-1.0898
brca_metabric,MB-3266,MB-3266,-0.8105
brca_metabric,MB-3271,MB-3271,-1.842
brca_metabric,MB-3272,MB-3272,-1.1511
brca_metabric,MB-3275,MB-3275,-0.346
brca_metabric,MB-3277,MB-3277,-1.3479
brca_metabric,MB-3292,MB-3292,-0.4454
brca_metabric,MB-3295,MB-3295,-0.344
brca_metabric,MB-3297,MB-3297,-1.8427
brca_metabric,MB-3298,MB-3298,-1.0279
brca_metabric,MB-3300,MB-3300,-1.2115
brca_metabric,MB-3301,MB-3301,-1.8341
brca_metabric,MB-3303,MB-3303,-1.2299
brca_metabric,MB-3328,MB-3328,-1.2553
brca_metabric,MB-3329,MB-3329,-1.3042
brca_metabric,MB-3341,MB-3341,-1.6829
brca_metabric,MB-3344,MB-3344,-1.4789
brca_metabric,MB-3350,MB-3350,-0.3014
brca_metabric,MB-3351,MB-3351,-0.8543
brca_metabric,MB-3355,MB-3355,-1.5744
brca_metabric,MB-3357,MB-3357,-0.9474
brca_metabric,MB-3360,MB-3360,-0.7597
brca_metabric,MB-3361,MB-3361,-1.4401
brca_metabric,MB-3363,MB-3363,0.5302
brca_metabric,MB-3365,MB-3365,-2.6279
brca_metabric,MB-3367,MB-3367,-1.1186
brca_metabric,MB-3371,MB-3371,-1.0248
brca_metabric,MB-3378,MB-3378,-1.0828
brca_metabric,MB-3379,MB-3379,-1.3434
brca_metabric,MB-3381,MB-3381,-0.6619
brca_metabric,MB-3382,MB-3382,-1.4662
brca_metabric,MB-3383,MB-3383,-1.4191
brca_metabric,MB-3386,MB-3386,-0.7789
brca_metabric,MB-3388,MB-3388,-1.384
brca_metabric,MB-3389,MB-3389,-0.9793
brca_metabric,MB-3395,MB-3395,-1.0464
brca_metabric,MB-3396,MB-3396,-0.132
brca_metabric,MB-3402,MB-3402,-1.0888
brca_metabric,MB-3403,MB-3403,-0.8158
brca_metabric,MB-3412,MB-3412,-1.5598
brca_metabric,MB-3417,MB-3417,-1.0819
brca_metabric,MB-3429,MB-3429,-1.1837
brca_metabric,MB-3430,MB-3430,-0.4065
brca_metabric,MB-3435,MB-3435,-0.9963
brca_metabric,MB-3436,MB-3436,-0.2529
brca_metabric,MB-3437,MB-3437,-1.6549
brca_metabric,MB-3439,MB-3439,-1.0336
brca_metabric,MB-3450,MB-3450,0.7325
brca_metabric,MB-3452,MB-3452,-1.4493
brca_metabric,MB-3453,MB-3453,-0.5555
brca_metabric,MB-3459,MB-3459,-0.3033
brca_metabric,MB-3462,MB-3462,-1.1178
brca_metabric,MB-3466,MB-3466,-0.4371
brca_metabric,MB-3467,MB-3467,-1.2862
brca_metabric,MB-3470,MB-3470,0.7877
brca_metabric,MB-3476,MB-3476,0.0145
brca_metabric,MB-3479,MB-3479,0.2331
brca_metabric,MB-3487,MB-3487,0.1723
brca_metabric,MB-3488,MB-3488,-0.2033
brca_metabric,MB-3490,MB-3490,0.4295
brca_metabric,MB-3492,MB-3492,0.4832
brca_metabric,MB-3497,MB-3497,-1.9136
brca_metabric,MB-3500,MB-3500,-1.83
brca_metabric,MB-3502,MB-3502,-0.1231
brca_metabric,MB-3506,MB-3506,0.3346
brca_metabric,MB-3510,MB-3510,-0.2537
brca_metabric,MB-3525,MB-3525,-0.5305
brca_metabric,MB-3526,MB-3526,-1.2962
brca_metabric,MB-3528,MB-3528,-1.3042
brca_metabric,MB-3530,MB-3530,0.7569
brca_metabric,MB-3536,MB-3536,-1.3545
brca_metabric,MB-3545,MB-3545,-1.1786
brca_metabric,MB-3547,MB-3547,-0.6216
brca_metabric,MB-3548,MB-3548,0.741
brca_metabric,MB-3556,MB-3556,-0.8681
brca_metabric,MB-3567,MB-3567,0.6018
brca_metabric,MB-3576,MB-3576,0.1229
brca_metabric,MB-3582,MB-3582,-0.2362
brca_metabric,MB-3600,MB-3600,-1.2025
brca_metabric,MB-3606,MB-3606,-1.0126
brca_metabric,MB-3614,MB-3614,-0.6349
brca_metabric,MB-3702,MB-3702,-0.5621
brca_metabric,MB-3706,MB-3706,-0.6941
brca_metabric,MB-3707,MB-3707,-1.1289
brca_metabric,MB-3711,MB-3711,-1.653
brca_metabric,MB-3748,MB-3748,-0.5352
brca_metabric,MB-3752,MB-3752,1.4286
brca_metabric,MB-3754,MB-3754,-1.1482
brca_metabric,MB-3781,MB-3781,-0.4759
brca_metabric,MB-3797,MB-3797,0.2859
brca_metabric,MB-3823,MB-3823,-1.19
brca_metabric,MB-3824,MB-3824,-0.3719
brca_metabric,MB-3838,MB-3838,-0.6207
brca_metabric,MB-3840,MB-3840,-0.4922
brca_metabric,MB-3842,MB-3842,-0.0195
brca_metabric,MB-3850,MB-3850,-0.4723
brca_metabric,MB-3852,MB-3852,0.1746
brca_metabric,MB-3854,MB-3854,0.2015
brca_metabric,MB-3865,MB-3865,-0.9163
brca_metabric,MB-3866,MB-3866,-1.1353
brca_metabric,MB-3871,MB-3871,-1.6228
brca_metabric,MB-3874,MB-3874,-0.1737
brca_metabric,MB-3978,MB-3978,-1.1168
brca_metabric,MB-4000,MB-4000,1.5672
brca_metabric,MB-4001,MB-4001,1.224
brca_metabric,MB-4003,MB-4003,-0.8307
brca_metabric,MB-4004,MB-4004,0.4488
brca_metabric,MB-4005,MB-4005,0.4614
brca_metabric,MB-4008,MB-4008,1.124
brca_metabric,MB-4010,MB-4010,-0.6285
brca_metabric,MB-4011,MB-4011,-0.5335
brca_metabric,MB-4012,MB-4012,1.6016
brca_metabric,MB-4015,MB-4015,-0.3843
brca_metabric,MB-4017,MB-4017,0.4204
brca_metabric,MB-4018,MB-4018,-0.6567
brca_metabric,MB-4024,MB-4024,-0.562
brca_metabric,MB-4033,MB-4033,0.3407
brca_metabric,MB-4046,MB-4046,1.7926
brca_metabric,MB-4059,MB-4059,0.4115
brca_metabric,MB-4079,MB-4079,0.923
brca_metabric,MB-4091,MB-4091,1.2809
brca_metabric,MB-4098,MB-4098,2.23
brca_metabric,MB-4119,MB-4119,1.8388
brca_metabric,MB-4120,MB-4120,1.5387
brca_metabric,MB-4126,MB-4126,2.4135
brca_metabric,MB-4127,MB-4127,1.1324
brca_metabric,MB-4139,MB-4139,1.9654
brca_metabric,MB-4140,MB-4140,1.6606
brca_metabric,MB-4141,MB-4141,1.1956
brca_metabric,MB-4145,MB-4145,0.9304
brca_metabric,MB-4146,MB-4146,0.5531
brca_metabric,MB-4148,MB-4148,-1.0573
brca_metabric,MB-4154,MB-4154,-0.0919
brca_metabric,MB-4171,MB-4171,1.3503
brca_metabric,MB-4173,MB-4173,0.325
brca_metabric,MB-4189,MB-4189,2.0889
brca_metabric,MB-4212,MB-4212,1.921
brca_metabric,MB-4213,MB-4213,0.9977
brca_metabric,MB-4222,MB-4222,1.1026
brca_metabric,MB-4224,MB-4224,3.053
brca_metabric,MB-4230,MB-4230,1.2938
brca_metabric,MB-4233,MB-4233,1.1554
brca_metabric,MB-4234,MB-4234,0.7226
brca_metabric,MB-4235,MB-4235,-0.2721
brca_metabric,MB-4236,MB-4236,0.5486
brca_metabric,MB-4250,MB-4250,0.0884
brca_metabric,MB-4254,MB-4254,0.2108
brca_metabric,MB-4264,MB-4264,0.1764
brca_metabric,MB-4266,MB-4266,-0.23
brca_metabric,MB-4270,MB-4270,0.3017
brca_metabric,MB-4274,MB-4274,1.3094
brca_metabric,MB-4276,MB-4276,0.4128
brca_metabric,MB-4278,MB-4278,1.0624
brca_metabric,MB-4281,MB-4281,-1.1215
brca_metabric,MB-4282,MB-4282,-1.428
brca_metabric,MB-4283,MB-4283,2.0646
brca_metabric,MB-4289,MB-4289,1.406
brca_metabric,MB-4292,MB-4292,0.4068
brca_metabric,MB-4293,MB-4293,0.8798
brca_metabric,MB-4298,MB-4298,-0.207
brca_metabric,MB-4300,MB-4300,-1.0387
brca_metabric,MB-4303,MB-4303,0.2417
brca_metabric,MB-4306,MB-4306,1.7301
brca_metabric,MB-4310,MB-4310,0.767
brca_metabric,MB-4313,MB-4313,-0.868
brca_metabric,MB-4317,MB-4317,0.4364
brca_metabric,MB-4318,MB-4318,-0.046
brca_metabric,MB-4322,MB-4322,1.9546
brca_metabric,MB-4323,MB-4323,0.2126
brca_metabric,MB-4324,MB-4324,-0.5396
brca_metabric,MB-4328,MB-4328,0.7287
brca_metabric,MB-4329,MB-4329,0.2629
brca_metabric,MB-4331,MB-4331,0.0752
brca_metabric,MB-4332,MB-4332,-0.781
brca_metabric,MB-4333,MB-4333,0.4488
brca_metabric,MB-4339,MB-4339,0.1863
brca_metabric,MB-4341,MB-4341,1.5959
brca_metabric,MB-4342,MB-4342,0.7046
brca_metabric,MB-4343,MB-4343,0.0243
brca_metabric,MB-4348,MB-4348,0.0734
brca_metabric,MB-4350,MB-4350,0.0234
brca_metabric,MB-4351,MB-4351,-0.0555
brca_metabric,MB-4353,MB-4353,1.1337
brca_metabric,MB-4354,MB-4354,0.4971
brca_metabric,MB-4357,MB-4357,0.9614
brca_metabric,MB-4360,MB-4360,0.5418
brca_metabric,MB-4362,MB-4362,1.4887
brca_metabric,MB-4368,MB-4368,1.7488
brca_metabric,MB-4374,MB-4374,2.5286
brca_metabric,MB-4375,MB-4375,-0.4806
brca_metabric,MB-4381,MB-4381,1.2021
brca_metabric,MB-4390,MB-4390,2.0221
brca_metabric,MB-4395,MB-4395,1.6766
brca_metabric,MB-4407,MB-4407,-0.6062
brca_metabric,MB-4408,MB-4408,-0.2255
brca_metabric,MB-4416,MB-4416,0.4257
brca_metabric,MB-4417,MB-4417,-1.4288
brca_metabric,MB-4418,MB-4418,2.2337
brca_metabric,MB-4421,MB-4421,0.2144
brca_metabric,MB-4426,MB-4426,0.6215
brca_metabric,MB-4434,MB-4434,-0.1035
brca_metabric,MB-4442,MB-4442,1.3239
brca_metabric,MB-4484,MB-4484,-0.0749
brca_metabric,MB-4529,MB-4529,0.9565
brca_metabric,MB-4548,MB-4548,1.1369
brca_metabric,MB-4557,MB-4557,-0.2617
brca_metabric,MB-4564,MB-4564,0.7823
brca_metabric,MB-4578,MB-4578,2.6507
brca_metabric,MB-4591,MB-4591,0.0911
brca_metabric,MB-4593,MB-4593,0.0602
brca_metabric,MB-4598,MB-4598,1.0305
brca_metabric,MB-4599,MB-4599,2.0788
brca_metabric,MB-4601,MB-4601,1.582
brca_metabric,MB-4602,MB-4602,1.5741
brca_metabric,MB-4603,MB-4603,1.2493
brca_metabric,MB-4607,MB-4607,1.2404
brca_metabric,MB-4616,MB-4616,0.4731
brca_metabric,MB-4618,MB-4618,0.1077
brca_metabric,MB-4621,MB-4621,-0.2103
brca_metabric,MB-4622,MB-4622,0.1845
brca_metabric,MB-4623,MB-4623,1.4326
brca_metabric,MB-4626,MB-4626,1.3205
brca_metabric,MB-4627,MB-4627,1.5477
brca_metabric,MB-4630,MB-4630,0.9745
brca_metabric,MB-4633,MB-4633,0.5199
brca_metabric,MB-4634,MB-4634,2.9001
brca_metabric,MB-4639,MB-4639,-0.0246
brca_metabric,MB-4640,MB-4640,0.7297
brca_metabric,MB-4641,MB-4641,0.7556
brca_metabric,MB-4642,MB-4642,-0.3167
brca_metabric,MB-4643,MB-4643,0.5564
brca_metabric,MB-4644,MB-4644,1.6004
brca_metabric,MB-4648,MB-4648,-0.5466
brca_metabric,MB-4649,MB-4649,-0.1305
brca_metabric,MB-4651,MB-4651,0.6599
brca_metabric,MB-4653,MB-4653,-0.0195
brca_metabric,MB-4654,MB-4654,-0.2053
brca_metabric,MB-4655,MB-4655,0.0167
brca_metabric,MB-4660,MB-4660,1.6788
brca_metabric,MB-4661,MB-4661,0.3664
brca_metabric,MB-4663,MB-4663,-0.3054
brca_metabric,MB-4665,MB-4665,1.3695
brca_metabric,MB-4666,MB-4666,0.7408
brca_metabric,MB-4667,MB-4667,1.303
brca_metabric,MB-4669,MB-4669,1.8767
brca_metabric,MB-4670,MB-4670,0.5627
brca_metabric,MB-4671,MB-4671,1.2612
brca_metabric,MB-4672,MB-4672,1.7167
brca_metabric,MB-4673,MB-4673,-0.0572
brca_metabric,MB-4674,MB-4674,0.5828
brca_metabric,MB-4675,MB-4675,-0.5712
brca_metabric,MB-4679,MB-4679,2.558
brca_metabric,MB-4681,MB-4681,1.2438
brca_metabric,MB-4682,MB-4682,1.3705
brca_metabric,MB-4685,MB-4685,1.9237
brca_metabric,MB-4686,MB-4686,1.2462
brca_metabric,MB-4687,MB-4687,0.9535
brca_metabric,MB-4688,MB-4688,0.5027
brca_metabric,MB-4691,MB-4691,1.6827
brca_metabric,MB-4692,MB-4692,2.2583
brca_metabric,MB-4694,MB-4694,1.1628
brca_metabric,MB-4695,MB-4695,0.1873
brca_metabric,MB-4696,MB-4696,-0.2449
brca_metabric,MB-4697,MB-4697,1.2404
brca_metabric,MB-4698,MB-4698,1.3831
brca_metabric,MB-4701,MB-4701,0.2637
brca_metabric,MB-4702,MB-4702,1.3118
brca_metabric,MB-4704,MB-4704,0.5185
brca_metabric,MB-4705,MB-4705,0.768
brca_metabric,MB-4706,MB-4706,0.8914
brca_metabric,MB-4707,MB-4707,1.305
brca_metabric,MB-4708,MB-4708,-0.2384
brca_metabric,MB-4709,MB-4709,1.817
brca_metabric,MB-4710,MB-4710,0.8561
brca_metabric,MB-4711,MB-4711,0.4894
brca_metabric,MB-4712,MB-4712,0.1542
brca_metabric,MB-4714,MB-4714,0.7428
brca_metabric,MB-4715,MB-4715,-0.4466
brca_metabric,MB-4716,MB-4716,-0.0498
brca_metabric,MB-4717,MB-4717,-0.594
brca_metabric,MB-4718,MB-4718,1.2097
brca_metabric,MB-4719,MB-4719,0.5976
brca_metabric,MB-4721,MB-4721,1.2759
brca_metabric,MB-4722,MB-4722,-0.3888
brca_metabric,MB-4723,MB-4723,0.6579
