Study ID,Patient ID,Sample ID,NSD1: mRNA expression z-scores relative to all samples (log microarray)
brca_metabric,MB-4724,MB-4724,-0.1737
brca_metabric,MB-4725,MB-4725,-0.4138
brca_metabric,MB-4729,MB-4729,-0.3784
brca_metabric,MB-4730,MB-4730,1.8252
brca_metabric,MB-4731,MB-4731,-0.6701
brca_metabric,MB-4732,MB-4732,0.8965
brca_metabric,MB-4733,MB-4733,0.8601
brca_metabric,MB-4735,MB-4735,0.0115
brca_metabric,MB-4737,MB-4737,0.6941
brca_metabric,MB-4738,MB-4738,-1.1878
brca_metabric,MB-4739,MB-4739,0.263
brca_metabric,MB-4741,MB-4741,1.5738
brca_metabric,MB-4742,MB-4742,1.392
brca_metabric,MB-4743,MB-4743,0.6921
brca_metabric,MB-4744,MB-4744,1.0432
brca_metabric,MB-4745,MB-4745,-0.6045
brca_metabric,MB-4746,MB-4746,-0.1651
brca_metabric,MB-4749,MB-4749,0.7833
brca_metabric,MB-4750,MB-4750,0.6995
brca_metabric,MB-4752,MB-4752,1.8674
brca_metabric,MB-4757,MB-4757,1.1463
brca_metabric,MB-4758,MB-4758,-0.5382
brca_metabric,MB-4760,MB-4760,0.4903
brca_metabric,MB-4762,MB-4762,1.2807
brca_metabric,MB-4763,MB-4763,0.0089
brca_metabric,MB-4764,MB-4764,-0.17
brca_metabric,MB-4767,MB-4767,0.5524
brca_metabric,MB-4769,MB-4769,-0.4025
brca_metabric,MB-4770,MB-4770,0.2944
brca_metabric,MB-4771,MB-4771,0.0583
brca_metabric,MB-4778,MB-4778,0.9665
brca_metabric,MB-4779,MB-4779,-0.3861
brca_metabric,MB-4782,MB-4782,-0.781
brca_metabric,MB-4784,MB-4784,-0.5717
brca_metabric,MB-4785,MB-4785,0.483
brca_metabric,MB-4787,MB-4787,0.6833
brca_metabric,MB-4790,MB-4790,0.6373
brca_metabric,MB-4791,MB-4791,-0.1397
brca_metabric,MB-4792,MB-4792,-1.0706
brca_metabric,MB-4793,MB-4793,0.6068
brca_metabric,MB-4794,MB-4794,0.2054
brca_metabric,MB-4796,MB-4796,-0.1134
brca_metabric,MB-4797,MB-4797,-0.6866
brca_metabric,MB-4798,MB-4798,1.7582
brca_metabric,MB-4800,MB-4800,-0.5853
brca_metabric,MB-4801,MB-4801,-1.7344
brca_metabric,MB-4802,MB-4802,0.5574
brca_metabric,MB-4805,MB-4805,-1.2412
brca_metabric,MB-4806,MB-4806,-0.1989
brca_metabric,MB-4809,MB-4809,-0.1457
brca_metabric,MB-4814,MB-4814,0.9454
brca_metabric,MB-4818,MB-4818,0.2422
brca_metabric,MB-4820,MB-4820,0.593
brca_metabric,MB-4822,MB-4822,-0.6799
brca_metabric,MB-4823,MB-4823,-0.7835
brca_metabric,MB-4825,MB-4825,1.9913
brca_metabric,MB-4827,MB-4827,0.4693
brca_metabric,MB-4828,MB-4828,2.0767
brca_metabric,MB-4829,MB-4829,1.0157
brca_metabric,MB-4832,MB-4832,0.4524
brca_metabric,MB-4834,MB-4834,1.5646
brca_metabric,MB-4836,MB-4836,1.7973
brca_metabric,MB-4838,MB-4838,1.4649
brca_metabric,MB-4839,MB-4839,2.1342
brca_metabric,MB-4843,MB-4843,0.7358
brca_metabric,MB-4845,MB-4845,0.1273
brca_metabric,MB-4846,MB-4846,1.491
brca_metabric,MB-4849,MB-4849,0.3444
brca_metabric,MB-4851,MB-4851,0.3473
brca_metabric,MB-4853,MB-4853,0.587
brca_metabric,MB-4855,MB-4855,-0.8727
brca_metabric,MB-4858,MB-4858,0.4752
brca_metabric,MB-4859,MB-4859,1.5592
brca_metabric,MB-4860,MB-4860,0.5653
brca_metabric,MB-4862,MB-4862,0.938
brca_metabric,MB-4865,MB-4865,0.7489
brca_metabric,MB-4866,MB-4866,0.8066
brca_metabric,MB-4867,MB-4867,1.0472
brca_metabric,MB-4869,MB-4869,0.5305
brca_metabric,MB-4870,MB-4870,-0.1144
brca_metabric,MB-4871,MB-4871,-0.6767
brca_metabric,MB-4872,MB-4872,1.1034
brca_metabric,MB-4873,MB-4873,0.7408
brca_metabric,MB-4876,MB-4876,0.9692
brca_metabric,MB-4878,MB-4878,-0.2909
brca_metabric,MB-4879,MB-4879,-0.1044
brca_metabric,MB-4880,MB-4880,2.0028
brca_metabric,MB-4881,MB-4881,0.153
brca_metabric,MB-4882,MB-4882,0.0532
brca_metabric,MB-4883,MB-4883,0.4604
brca_metabric,MB-4886,MB-4886,-0.2776
brca_metabric,MB-4887,MB-4887,0.5953
brca_metabric,MB-4888,MB-4888,-0.7069
brca_metabric,MB-4893,MB-4893,0.9956
brca_metabric,MB-4894,MB-4894,0.8887
brca_metabric,MB-4896,MB-4896,0.8478
brca_metabric,MB-4897,MB-4897,0.945
brca_metabric,MB-4898,MB-4898,-0.4901
brca_metabric,MB-4899,MB-4899,-0.1543
brca_metabric,MB-4900,MB-4900,0.4745
brca_metabric,MB-4904,MB-4904,2.1415
brca_metabric,MB-4906,MB-4906,0.4809
brca_metabric,MB-4908,MB-4908,-0.1254
brca_metabric,MB-4911,MB-4911,0.2814
brca_metabric,MB-4912,MB-4912,0.7769
brca_metabric,MB-4925,MB-4925,0.4759
brca_metabric,MB-4928,MB-4928,-0.1402
brca_metabric,MB-4929,MB-4929,1.0686
brca_metabric,MB-4930,MB-4930,-0.4489
brca_metabric,MB-4931,MB-4931,0.9871
brca_metabric,MB-4933,MB-4933,0.8835
brca_metabric,MB-4934,MB-4934,0.9352
brca_metabric,MB-4935,MB-4935,0.5642
brca_metabric,MB-4937,MB-4937,1.0296
brca_metabric,MB-4938,MB-4938,0.1116
brca_metabric,MB-4941,MB-4941,1.6375
brca_metabric,MB-4942,MB-4942,0.9682
brca_metabric,MB-4944,MB-4944,0.6176
brca_metabric,MB-4945,MB-4945,0.2848
brca_metabric,MB-4949,MB-4949,0.6504
brca_metabric,MB-4950,MB-4950,0.8691
brca_metabric,MB-4952,MB-4952,1.1837
brca_metabric,MB-4956,MB-4956,1.3324
brca_metabric,MB-4957,MB-4957,2.1608
brca_metabric,MB-4959,MB-4959,0.7303
brca_metabric,MB-4961,MB-4961,0.6087
brca_metabric,MB-4962,MB-4962,1.816
brca_metabric,MB-4965,MB-4965,2.3529
brca_metabric,MB-4966,MB-4966,-0.7439
brca_metabric,MB-4967,MB-4967,0.801
brca_metabric,MB-4968,MB-4968,-0.3769
brca_metabric,MB-4969,MB-4969,0.6492
brca_metabric,MB-4970,MB-4970,-0.5006
brca_metabric,MB-4974,MB-4974,0.1837
brca_metabric,MB-4976,MB-4976,0.2027
brca_metabric,MB-4977,MB-4977,0.2628
brca_metabric,MB-4978,MB-4978,0.6256
brca_metabric,MB-4981,MB-4981,1.0366
brca_metabric,MB-4982,MB-4982,0.2889
brca_metabric,MB-4986,MB-4986,0.429
brca_metabric,MB-4987,MB-4987,0.445
brca_metabric,MB-4991,MB-4991,-0.5586
brca_metabric,MB-4992,MB-4992,0.5248
brca_metabric,MB-4993,MB-4993,0.328
brca_metabric,MB-4994,MB-4994,0.0008
brca_metabric,MB-4996,MB-4996,1.627
brca_metabric,MB-4998,MB-4998,-1.2986
brca_metabric,MB-4999,MB-4999,0.6937
brca_metabric,MB-5001,MB-5001,0.333
brca_metabric,MB-5004,MB-5004,1.5862
brca_metabric,MB-5008,MB-5008,2.6533
brca_metabric,MB-5011,MB-5011,0.5318
brca_metabric,MB-5013,MB-5013,1.1944
brca_metabric,MB-5014,MB-5014,1.0539
brca_metabric,MB-5015,MB-5015,0.3066
brca_metabric,MB-5017,MB-5017,1.4531
brca_metabric,MB-5018,MB-5018,-0.3278
brca_metabric,MB-5019,MB-5019,1.0604
brca_metabric,MB-5020,MB-5020,0.0467
brca_metabric,MB-5022,MB-5022,-0.4072
brca_metabric,MB-5027,MB-5027,0.075
brca_metabric,MB-5033,MB-5033,0.217
brca_metabric,MB-5035,MB-5035,0.107
brca_metabric,MB-5039,MB-5039,0.6068
brca_metabric,MB-5040,MB-5040,0.1868
brca_metabric,MB-5041,MB-5041,1.0285
brca_metabric,MB-5043,MB-5043,1.2802
brca_metabric,MB-5044,MB-5044,1.723
brca_metabric,MB-5045,MB-5045,0.0865
brca_metabric,MB-5048,MB-5048,-0.7597
brca_metabric,MB-5049,MB-5049,0.6317
brca_metabric,MB-5050,MB-5050,1.0169
brca_metabric,MB-5052,MB-5052,1.3605
brca_metabric,MB-5053,MB-5053,-0.2567
brca_metabric,MB-5054,MB-5054,0.5761
brca_metabric,MB-5057,MB-5057,0.0725
brca_metabric,MB-5058,MB-5058,-0.4422
brca_metabric,MB-5059,MB-5059,0.6204
brca_metabric,MB-5060,MB-5060,0.3687
brca_metabric,MB-5061,MB-5061,1.6884
brca_metabric,MB-5062,MB-5062,0.8811
brca_metabric,MB-5063,MB-5063,-0.9202
brca_metabric,MB-5064,MB-5064,1.4418
brca_metabric,MB-5065,MB-5065,2.4918
brca_metabric,MB-5066,MB-5066,0.845
brca_metabric,MB-5068,MB-5068,2.6927
brca_metabric,MB-5070,MB-5070,0.6846
brca_metabric,MB-5072,MB-5072,0.6781
brca_metabric,MB-5073,MB-5073,0.4077
brca_metabric,MB-5074,MB-5074,1.5887
brca_metabric,MB-5076,MB-5076,-0.0812
brca_metabric,MB-5078,MB-5078,1.6051
brca_metabric,MB-5079,MB-5079,0.471
brca_metabric,MB-5081,MB-5081,0.4469
brca_metabric,MB-5084,MB-5084,1.3768
brca_metabric,MB-5086,MB-5086,0.9125
brca_metabric,MB-5088,MB-5088,1.4622
brca_metabric,MB-5092,MB-5092,-0.7114
brca_metabric,MB-5093,MB-5093,0.0681
brca_metabric,MB-5097,MB-5097,1.2662
brca_metabric,MB-5098,MB-5098,-0.0732
brca_metabric,MB-5100,MB-5100,1.1823
brca_metabric,MB-5101,MB-5101,0.6861
brca_metabric,MB-5102,MB-5102,1.4066
brca_metabric,MB-5104,MB-5104,2.8093
brca_metabric,MB-5105,MB-5105,2.1806
brca_metabric,MB-5106,MB-5106,1.0911
brca_metabric,MB-5107,MB-5107,2.2401
brca_metabric,MB-5109,MB-5109,0.6843
brca_metabric,MB-5110,MB-5110,0.8674
brca_metabric,MB-5113,MB-5113,0.7844
brca_metabric,MB-5114,MB-5114,0.1536
brca_metabric,MB-5115,MB-5115,-0.3026
brca_metabric,MB-5116,MB-5116,0.4779
brca_metabric,MB-5117,MB-5117,0.1601
brca_metabric,MB-5118,MB-5118,-0.1407
brca_metabric,MB-5119,MB-5119,1.3703
brca_metabric,MB-5120,MB-5120,0.3168
brca_metabric,MB-5121,MB-5121,1.1672
brca_metabric,MB-5122,MB-5122,0.9168
brca_metabric,MB-5123,MB-5123,-0.4317
brca_metabric,MB-5124,MB-5124,-0.2766
brca_metabric,MB-5126,MB-5126,0.2696
brca_metabric,MB-5127,MB-5127,-0.4985
brca_metabric,MB-5130,MB-5130,1.3105
brca_metabric,MB-5131,MB-5131,1.6653
brca_metabric,MB-5134,MB-5134,-0.3038
brca_metabric,MB-5135,MB-5135,-0.9796
brca_metabric,MB-5136,MB-5136,0.9662
brca_metabric,MB-5137,MB-5137,-0.7763
brca_metabric,MB-5138,MB-5138,1.3561
brca_metabric,MB-5139,MB-5139,0.4259
brca_metabric,MB-5140,MB-5140,2.939
brca_metabric,MB-5143,MB-5143,1.4444
brca_metabric,MB-5144,MB-5144,1.3397
brca_metabric,MB-5145,MB-5145,-0.4394
brca_metabric,MB-5147,MB-5147,0.6317
brca_metabric,MB-5148,MB-5148,0.4855
brca_metabric,MB-5150,MB-5150,1.7926
brca_metabric,MB-5152,MB-5152,0.2828
brca_metabric,MB-5154,MB-5154,2.0865
brca_metabric,MB-5155,MB-5155,1.8984
brca_metabric,MB-5157,MB-5157,1.6665
brca_metabric,MB-5158,MB-5158,-0.2412
brca_metabric,MB-5160,MB-5160,0.676
brca_metabric,MB-5161,MB-5161,-0.1045
brca_metabric,MB-5162,MB-5162,0.1567
brca_metabric,MB-5163,MB-5163,1.5134
brca_metabric,MB-5164,MB-5164,1.5263
brca_metabric,MB-5166,MB-5166,0.4334
brca_metabric,MB-5167,MB-5167,1.039
brca_metabric,MB-5169,MB-5169,-0.1822
brca_metabric,MB-5171,MB-5171,1.1165
brca_metabric,MB-5172,MB-5172,0.0903
brca_metabric,MB-5173,MB-5173,0.4134
brca_metabric,MB-5174,MB-5174,1.6442
brca_metabric,MB-5175,MB-5175,2.3382
brca_metabric,MB-5176,MB-5176,0.9908
brca_metabric,MB-5177,MB-5177,2.2892
brca_metabric,MB-5178,MB-5178,0.5119
brca_metabric,MB-5179,MB-5179,2.0234
brca_metabric,MB-5182,MB-5182,0.4266
brca_metabric,MB-5183,MB-5183,-0.352
brca_metabric,MB-5184,MB-5184,-0.2496
brca_metabric,MB-5185,MB-5185,1.878
brca_metabric,MB-5186,MB-5186,-0.184
brca_metabric,MB-5188,MB-5188,-0.1042
brca_metabric,MB-5189,MB-5189,2.0746
brca_metabric,MB-5190,MB-5190,2.078
brca_metabric,MB-5191,MB-5191,2.1769
brca_metabric,MB-5193,MB-5193,1.6638
brca_metabric,MB-5195,MB-5195,-0.6214
brca_metabric,MB-5196,MB-5196,1.6295
brca_metabric,MB-5197,MB-5197,-0.0664
brca_metabric,MB-5199,MB-5199,-0.7074
brca_metabric,MB-5200,MB-5200,1.5723
brca_metabric,MB-5201,MB-5201,1.5532
brca_metabric,MB-5204,MB-5204,0.944
brca_metabric,MB-5205,MB-5205,0.5426
brca_metabric,MB-5206,MB-5206,0.3691
brca_metabric,MB-5208,MB-5208,0.8788
brca_metabric,MB-5209,MB-5209,0.1997
brca_metabric,MB-5211,MB-5211,0.1909
brca_metabric,MB-5212,MB-5212,0.7013
brca_metabric,MB-5213,MB-5213,-0.6795
brca_metabric,MB-5214,MB-5214,1.8815
brca_metabric,MB-5215,MB-5215,0.7816
brca_metabric,MB-5218,MB-5218,-0.6389
brca_metabric,MB-5219,MB-5219,0.2478
brca_metabric,MB-5221,MB-5221,0.9151
brca_metabric,MB-5222,MB-5222,0.4808
brca_metabric,MB-5223,MB-5223,0.2
brca_metabric,MB-5224,MB-5224,2.1821
brca_metabric,MB-5225,MB-5225,0.0443
brca_metabric,MB-5226,MB-5226,1.6137
brca_metabric,MB-5227,MB-5227,0.6121
brca_metabric,MB-5228,MB-5228,0.43
brca_metabric,MB-5229,MB-5229,-0.1209
brca_metabric,MB-5230,MB-5230,1.5763
brca_metabric,MB-5231,MB-5231,2.6867
brca_metabric,MB-5232,MB-5232,-0.0349
brca_metabric,MB-5233,MB-5233,1.2362
brca_metabric,MB-5235,MB-5235,0.7116
brca_metabric,MB-5236,MB-5236,0.7524
brca_metabric,MB-5238,MB-5238,0.6597
brca_metabric,MB-5239,MB-5239,1.7325
brca_metabric,MB-5240,MB-5240,1.6384
brca_metabric,MB-5243,MB-5243,2.6379
brca_metabric,MB-5244,MB-5244,2.5753
brca_metabric,MB-5251,MB-5251,1.0231
brca_metabric,MB-5253,MB-5253,1.5066
brca_metabric,MB-5255,MB-5255,1.4592
brca_metabric,MB-5256,MB-5256,0.5108
brca_metabric,MB-5258,MB-5258,-0.5149
brca_metabric,MB-5259,MB-5259,1.6023
brca_metabric,MB-5260,MB-5260,1.9892
brca_metabric,MB-5261,MB-5261,1.4081
brca_metabric,MB-5264,MB-5264,0.549
brca_metabric,MB-5266,MB-5266,2.1861
brca_metabric,MB-5267,MB-5267,1.5022
brca_metabric,MB-5268,MB-5268,1.4043
brca_metabric,MB-5270,MB-5270,1.1632
brca_metabric,MB-5271,MB-5271,1.6072
brca_metabric,MB-5272,MB-5272,1.7184
brca_metabric,MB-5273,MB-5273,1.5567
brca_metabric,MB-5275,MB-5275,1.8815
brca_metabric,MB-5277,MB-5277,-0.269
brca_metabric,MB-5278,MB-5278,0.5109
brca_metabric,MB-5279,MB-5279,0.3746
brca_metabric,MB-5280,MB-5280,-0.022
brca_metabric,MB-5281,MB-5281,1.4521
brca_metabric,MB-5284,MB-5284,0.574
brca_metabric,MB-5287,MB-5287,0.8566
brca_metabric,MB-5288,MB-5288,0.8834
brca_metabric,MB-5289,MB-5289,1.4872
brca_metabric,MB-5290,MB-5290,0.1123
brca_metabric,MB-5291,MB-5291,0.1007
brca_metabric,MB-5292,MB-5292,0.7423
brca_metabric,MB-5293,MB-5293,0.7022
brca_metabric,MB-5294,MB-5294,0.3398
brca_metabric,MB-5295,MB-5295,0.3861
brca_metabric,MB-5296,MB-5296,1.4347
brca_metabric,MB-5298,MB-5298,0.3258
brca_metabric,MB-5299,MB-5299,1.5154
brca_metabric,MB-5300,MB-5300,0.3701
brca_metabric,MB-5301,MB-5301,-1.1017
brca_metabric,MB-5302,MB-5302,0.2906
brca_metabric,MB-5305,MB-5305,0.4896
brca_metabric,MB-5306,MB-5306,2.9429
brca_metabric,MB-5308,MB-5308,0.3954
brca_metabric,MB-5310,MB-5310,0.9391
brca_metabric,MB-5311,MB-5311,0.49
brca_metabric,MB-5312,MB-5312,0.8432
brca_metabric,MB-5313,MB-5313,0.2145
brca_metabric,MB-5315,MB-5315,0.4431
brca_metabric,MB-5317,MB-5317,1.6696
brca_metabric,MB-5318,MB-5318,0.921
brca_metabric,MB-5322,MB-5322,2.2043
brca_metabric,MB-5323,MB-5323,1.1084
brca_metabric,MB-5324,MB-5324,0.4906
brca_metabric,MB-5325,MB-5325,0.2258
brca_metabric,MB-5326,MB-5326,-0.106
brca_metabric,MB-5327,MB-5327,-0.168
brca_metabric,MB-5328,MB-5328,0.893
brca_metabric,MB-5329,MB-5329,2.3792
brca_metabric,MB-5330,MB-5330,0.1439
brca_metabric,MB-5331,MB-5331,0.7315
brca_metabric,MB-5332,MB-5332,0.8447
brca_metabric,MB-5334,MB-5334,-0.1848
brca_metabric,MB-5335,MB-5335,-0.8326
brca_metabric,MB-5338,MB-5338,0.8304
brca_metabric,MB-5339,MB-5339,0.7946
brca_metabric,MB-5341,MB-5341,1.5266
brca_metabric,MB-5345,MB-5345,0.5732
brca_metabric,MB-5346,MB-5346,-1.2737
brca_metabric,MB-5347,MB-5347,1.9255
brca_metabric,MB-5348,MB-5348,0.4148
brca_metabric,MB-5349,MB-5349,0.5752
brca_metabric,MB-5350,MB-5350,1.6333
brca_metabric,MB-5351,MB-5351,0.4334
brca_metabric,MB-5358,MB-5358,0.306
brca_metabric,MB-5360,MB-5360,1.9075
brca_metabric,MB-5361,MB-5361,0.024
brca_metabric,MB-5364,MB-5364,1.6835
brca_metabric,MB-5365,MB-5365,-0.0686
brca_metabric,MB-5366,MB-5366,-0.6331
brca_metabric,MB-5368,MB-5368,1.5878
brca_metabric,MB-5369,MB-5369,0.3104
brca_metabric,MB-5370,MB-5370,-0.0218
brca_metabric,MB-5373,MB-5373,1.0358
brca_metabric,MB-5377,MB-5377,0.5443
brca_metabric,MB-5378,MB-5378,-1.2405
brca_metabric,MB-5381,MB-5381,1.2629
brca_metabric,MB-5382,MB-5382,0.6887
brca_metabric,MB-5383,MB-5383,0.9149
brca_metabric,MB-5384,MB-5384,1.4895
brca_metabric,MB-5385,MB-5385,2.0638
brca_metabric,MB-5386,MB-5386,0.7156
brca_metabric,MB-5387,MB-5387,1.5122
brca_metabric,MB-5388,MB-5388,0.5059
brca_metabric,MB-5389,MB-5389,1.0789
brca_metabric,MB-5390,MB-5390,-0.2479
brca_metabric,MB-5392,MB-5392,0.679
brca_metabric,MB-5393,MB-5393,1.8729
brca_metabric,MB-5394,MB-5394,1.0739
brca_metabric,MB-5395,MB-5395,-0.1602
brca_metabric,MB-5396,MB-5396,2.8256
brca_metabric,MB-5397,MB-5397,0.321
brca_metabric,MB-5398,MB-5398,-0.2146
brca_metabric,MB-5399,MB-5399,1.2613
brca_metabric,MB-5401,MB-5401,0.8306
brca_metabric,MB-5402,MB-5402,0.4995
brca_metabric,MB-5403,MB-5403,-0.3013
brca_metabric,MB-5404,MB-5404,0.0836
brca_metabric,MB-5405,MB-5405,1.5463
brca_metabric,MB-5406,MB-5406,1.933
brca_metabric,MB-5407,MB-5407,-0.1152
brca_metabric,MB-5408,MB-5408,0.4445
brca_metabric,MB-5409,MB-5409,0.5137
brca_metabric,MB-5410,MB-5410,0.4913
brca_metabric,MB-5411,MB-5411,0.9232
brca_metabric,MB-5412,MB-5412,0.4947
brca_metabric,MB-5413,MB-5413,0.5335
brca_metabric,MB-5414,MB-5414,-0.1844
brca_metabric,MB-5417,MB-5417,0.1589
brca_metabric,MB-5418,MB-5418,0.1141
brca_metabric,MB-5420,MB-5420,-0.0289
brca_metabric,MB-5421,MB-5421,1.821
brca_metabric,MB-5422,MB-5422,-0.4554
brca_metabric,MB-5424,MB-5424,-0.2466
brca_metabric,MB-5425,MB-5425,1.9354
brca_metabric,MB-5426,MB-5426,-0.0469
brca_metabric,MB-5427,MB-5427,-0.3216
brca_metabric,MB-5428,MB-5428,1.1847
brca_metabric,MB-5429,MB-5429,0.5909
brca_metabric,MB-5431,MB-5431,-0.0486
brca_metabric,MB-5432,MB-5432,1.2995
brca_metabric,MB-5433,MB-5433,2.2688
brca_metabric,MB-5434,MB-5434,1.9175
brca_metabric,MB-5435,MB-5435,0.536
brca_metabric,MB-5440,MB-5440,1.9044
brca_metabric,MB-5441,MB-5441,1.4778
brca_metabric,MB-5442,MB-5442,0.2368
brca_metabric,MB-5444,MB-5444,0.473
brca_metabric,MB-5446,MB-5446,0.1089
brca_metabric,MB-5447,MB-5447,0.6215
brca_metabric,MB-5450,MB-5450,-0.4025
brca_metabric,MB-5451,MB-5451,0.9467
brca_metabric,MB-5452,MB-5452,0.5643
brca_metabric,MB-5453,MB-5453,-0.6202
brca_metabric,MB-5454,MB-5454,1.5744
brca_metabric,MB-5455,MB-5455,1.4253
brca_metabric,MB-5457,MB-5457,-0.3572
brca_metabric,MB-5458,MB-5458,0.2236
brca_metabric,MB-5459,MB-5459,-0.9565
brca_metabric,MB-5460,MB-5460,0.3596
brca_metabric,MB-5463,MB-5463,1.0529
brca_metabric,MB-5464,MB-5464,-0.8262
brca_metabric,MB-5465,MB-5465,-1.2868
brca_metabric,MB-5467,MB-5467,-0.5598
brca_metabric,MB-5468,MB-5468,0.041
brca_metabric,MB-5470,MB-5470,1.1651
brca_metabric,MB-5471,MB-5471,0.1801
brca_metabric,MB-5472,MB-5472,0.0562
brca_metabric,MB-5473,MB-5473,0.5005
brca_metabric,MB-5474,MB-5474,0.6105
brca_metabric,MB-5475,MB-5475,0.2585
brca_metabric,MB-5477,MB-5477,0.8101
brca_metabric,MB-5478,MB-5478,-0.214
brca_metabric,MB-5481,MB-5481,0.213
brca_metabric,MB-5482,MB-5482,0.2956
brca_metabric,MB-5483,MB-5483,-0.4245
brca_metabric,MB-5484,MB-5484,-0.0889
brca_metabric,MB-5485,MB-5485,-0.1672
brca_metabric,MB-5486,MB-5486,0.4517
brca_metabric,MB-5489,MB-5489,0.755
brca_metabric,MB-5490,MB-5490,0.9828
brca_metabric,MB-5491,MB-5491,-0.0582
brca_metabric,MB-5492,MB-5492,0.7468
brca_metabric,MB-5493,MB-5493,2.5977
brca_metabric,MB-5495,MB-5495,0.2769
brca_metabric,MB-5497,MB-5497,-0.4456
brca_metabric,MB-5498,MB-5498,-0.8808
brca_metabric,MB-5499,MB-5499,0.8784
brca_metabric,MB-5502,MB-5502,-0.5964
brca_metabric,MB-5505,MB-5505,1.6551
brca_metabric,MB-5510,MB-5510,0.3712
brca_metabric,MB-5511,MB-5511,-1.38
brca_metabric,MB-5513,MB-5513,-0.2409
brca_metabric,MB-5514,MB-5514,-0.0705
brca_metabric,MB-5518,MB-5518,1.0427
brca_metabric,MB-5519,MB-5519,0.1333
brca_metabric,MB-5520,MB-5520,0.2576
brca_metabric,MB-5521,MB-5521,-0.1031
brca_metabric,MB-5525,MB-5525,0.5017
brca_metabric,MB-5526,MB-5526,-0.7898
brca_metabric,MB-5527,MB-5527,1.177
brca_metabric,MB-5529,MB-5529,-0.2303
brca_metabric,MB-5530,MB-5530,-1.063
brca_metabric,MB-5531,MB-5531,0.3693
brca_metabric,MB-5532,MB-5532,0.8296
brca_metabric,MB-5533,MB-5533,0.0045
brca_metabric,MB-5534,MB-5534,0.0571
brca_metabric,MB-5535,MB-5535,0.8599
brca_metabric,MB-5540,MB-5540,0.1534
